Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     64.30     0.00       16     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00     64.30     0.00       16     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<int> >::__maxsize_helper<std::allocator<int> const>::value, unsigned long>::type std::allocator_traits<std::allocator<int> >::_S_max_size<std::allocator<int> const>(std::allocator<int> const&)
  0.00     64.30     0.00       16     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00     64.30     0.00       16     0.00     0.00  std::_Miter_base<int const*>::iterator_type std::__miter_base<int const*>(int const*)
  0.00     64.30     0.00       16     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00     64.30     0.00       16     0.00     0.00  std::_Niter_base<int const*>::iterator_type std::__niter_base<int const*>(int const*)
  0.00     64.30     0.00       16     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.00     64.30     0.00       10     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     64.30     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00     64.30     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00     64.30     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00     64.30     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     64.30     0.00        8     0.00     0.00  std::initializer_list<int>::end() const
  0.00     64.30     0.00        8     0.00     0.00  std::initializer_list<int>::size() const
  0.00     64.30     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00     64.30     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00     64.30     0.00        8     0.00     0.00  std::allocator<int>::allocator()
  0.00     64.30     0.00        8     0.00     0.00  std::allocator<int>::~allocator()
  0.00     64.30     0.00        8     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00     64.30     0.00        8     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00     64.30     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00     64.30     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     64.30     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     64.30     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     64.30     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     64.30     0.00        8     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00     64.30     0.00        8     0.00     0.00  void std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long)
  0.00     64.30     0.00        8     0.00     0.01  void std::vector<int, std::allocator<int> >::_M_assign_aux<int const*>(int const*, int const*, std::forward_iterator_tag)
  0.00     64.30     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00     64.30     0.00        8     0.00     0.01  void std::vector<int, std::allocator<int> >::_M_assign_dispatch<int const*>(int const*, int const*, std::__false_type)
  0.00     64.30     0.00        8     0.00     0.01  void std::vector<int, std::allocator<int> >::assign<int const*, void>(int const*, int const*)
  0.00     64.30     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned long)
  0.00     64.30     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00     64.30     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     64.30     0.00        8     0.00     0.01  std::vector<int, std::allocator<int> >::operator=(std::initializer_list<int>)
  0.00     64.30     0.00        8     0.00     0.00  std::iterator_traits<int const*>::difference_type std::__distance<int const*>(int const*, int const*, std::random_access_iterator_tag)
  0.00     64.30     0.00        8     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00     64.30     0.00        8     0.00     0.00  Electrodes* std::__addressof<Electrodes>(Electrodes&)
  0.00     64.30     0.00        8     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00     64.30     0.00        8     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00     64.30     0.00        8     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00     64.30     0.00        8     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00     64.30     0.00        8     0.00     0.00  std::iterator_traits<int const*>::iterator_category std::__iterator_category<int const*>(int const* const&)
  0.00     64.30     0.00        8     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00     64.30     0.00        8     0.00     0.00  void std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long)
  0.00     64.30     0.00        8     0.00     0.00  void std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&)
  0.00     64.30     0.00        8     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00     64.30     0.00        8     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00     64.30     0.00        8     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00     64.30     0.00        8     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00     64.30     0.00        8     0.00     0.00  std::iterator_traits<int const*>::difference_type std::distance<int const*>(int const*, int const*)
  0.00     64.30     0.00        4     0.00     0.00  Electrodes::draw(Solver*)
  0.00     64.30     0.00        4     0.00     0.00  Electrodes::init_elec()
  0.00     64.30     0.00        4     0.00     0.00  Electrodes::Electrodes()
  0.00     64.30     0.00        4     0.00     0.00  Electrodes::~Electrodes()
  0.00     64.30     0.00        4     0.00     0.00  std::move_iterator<double*>::base() const
  0.00     64.30     0.00        4     0.00     0.00  std::allocator<double>::allocator()
